# FONLL heavy quark hadroproduction cross section, calculated on Sat Jun 15 01:05:37 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 30
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  18.0000 1.8931e+03 1.5399e+03 2.3574e+03 1.5614e+03 2.3409e+03 1.8316e+03 1.9558e+03 1.7887e+03 1.9987e+03
  18.5000 1.6913e+03 1.3800e+03 2.0992e+03 1.3990e+03 2.0845e+03 1.6379e+03 1.7458e+03 1.5985e+03 1.7852e+03
  19.0000 1.5150e+03 1.2381e+03 1.8738e+03 1.2551e+03 1.8606e+03 1.4686e+03 1.5625e+03 1.4314e+03 1.5985e+03
  19.5000 1.3595e+03 1.1143e+03 1.6763e+03 1.1294e+03 1.6646e+03 1.3189e+03 1.4013e+03 1.2853e+03 1.4338e+03
  20.0000 1.2226e+03 1.0048e+03 1.5024e+03 1.0180e+03 1.4918e+03 1.1878e+03 1.2586e+03 1.1564e+03 1.2899e+03
  20.5000 1.1020e+03 9.0728e+02 1.3501e+03 9.1930e+02 1.3410e+03 1.0709e+03 1.1331e+03 1.0423e+03 1.1612e+03
  21.0000 9.9482e+02 8.2099e+02 1.2148e+03 8.3172e+02 1.2064e+03 9.6756e+02 1.0222e+03 9.4122e+02 1.0484e+03
  21.5000 8.9970e+02 7.4415e+02 1.0960e+03 7.5377e+02 1.0884e+03 8.7580e+02 9.2382e+02 8.5144e+02 9.4807e+02
  22.0000 8.1525e+02 6.7555e+02 9.9026e+02 6.8428e+02 9.8345e+02 7.9402e+02 8.3636e+02 7.7152e+02 8.5875e+02
  22.5000 7.3985e+02 6.1437e+02 8.9639e+02 6.2222e+02 8.9018e+02 7.2106e+02 7.5852e+02 7.0041e+02 7.7929e+02
  23.0000 6.7257e+02 5.5957e+02 8.1289e+02 5.6666e+02 8.0724e+02 6.5598e+02 6.8916e+02 6.3684e+02 7.0830e+02
  23.5000 6.1236e+02 5.1045e+02 7.3839e+02 5.1690e+02 7.3324e+02 5.9763e+02 6.2710e+02 5.7988e+02 6.4484e+02
  24.0000 5.5842e+02 4.6629e+02 6.7172e+02 4.7212e+02 6.6700e+02 5.4532e+02 5.7153e+02 5.2896e+02 5.8800e+02
  24.5000 5.1005e+02 4.2665e+02 6.1200e+02 4.3198e+02 6.0772e+02 4.9834e+02 5.2165e+02 4.8314e+02 5.3685e+02
  25.0000 4.6644e+02 3.9084e+02 5.5851e+02 3.9568e+02 5.5460e+02 4.5600e+02 4.7676e+02 4.4196e+02 4.9091e+02
  25.5000 4.2723e+02 3.5853e+02 5.1040e+02 3.6296e+02 5.0680e+02 4.1783e+02 4.3639e+02 4.0484e+02 4.4962e+02
  26.0000 3.9185e+02 3.2932e+02 4.6717e+02 3.3338e+02 4.6388e+02 3.8350e+02 4.0008e+02 3.7132e+02 4.1226e+02
  26.5000 3.5983e+02 3.0287e+02 4.2816e+02 3.0659e+02 4.2514e+02 3.5229e+02 3.6726e+02 3.4104e+02 3.7851e+02
  27.0000 3.3083e+02 2.7892e+02 3.9290e+02 2.8234e+02 3.9011e+02 3.2410e+02 3.3744e+02 3.1355e+02 3.4800e+02
  27.5000 3.0450e+02 2.5719e+02 3.6105e+02 2.6030e+02 3.5844e+02 2.9847e+02 3.1053e+02 2.8872e+02 3.2039e+02
  28.0000 2.8072e+02 2.3737e+02 3.3216e+02 2.4024e+02 3.2979e+02 2.7527e+02 2.8606e+02 2.6622e+02 2.9522e+02
  28.5000 2.5903e+02 2.1939e+02 3.0604e+02 2.2202e+02 3.0380e+02 2.5416e+02 2.6390e+02 2.4569e+02 2.7248e+02
  29.0000 2.3931e+02 2.0290e+02 2.8221e+02 2.0532e+02 2.8014e+02 2.3490e+02 2.4372e+02 2.2701e+02 2.5172e+02
  29.5000 2.2133e+02 1.8787e+02 2.6057e+02 1.9012e+02 2.5868e+02 2.1727e+02 2.2527e+02 2.0996e+02 2.3270e+02
  30.0000 2.0497e+02 1.7421e+02 2.4085e+02 1.7632e+02 2.3908e+02 2.0126e+02 2.0857e+02 1.9442e+02 2.1553e+02
